Date,Open,High,Low,Close,Adj Close,Volume
2016-12-12,113.290001,115.000000,112.489998,113.300003,110.569832,26374377
2016-12-13,113.839996,115.919998,113.750000,115.190002,112.414291,43733811
2016-12-14,115.040001,116.199997,114.980003,115.190002,112.414291,34031834
2016-12-15,115.379997,116.730003,115.230003,115.820000,113.029099,46524544
2016-12-16,116.470001,116.500000,115.644997,115.970001,113.175507,44351134
2016-12-19,115.800003,117.379997,115.750000,116.639999,113.829353,27779423
2016-12-20,116.739998,117.500000,116.680000,116.949997,114.131874,21424965
2016-12-21,116.800003,117.400002,116.779999,117.059998,114.239235,23724084
2016-12-22,116.349998,116.510002,115.639999,116.290001,113.487785,26085854
2016-12-23,115.589996,116.519997,115.589996,116.519997,113.712219,14249484
2016-12-27,116.519997,117.800003,116.489998,117.260002,114.434402,18296855
2016-12-28,117.519997,118.016602,116.199997,116.760002,113.946442,20905892
2016-12-29,116.449997,117.109497,116.400002,116.730003,113.917183,15039519
2016-12-30,116.650002,117.199997,115.430000,115.820000,113.029099,30586265
2017-01-03,115.800003,116.330002,114.760002,116.150002,113.351151,28781865
2017-01-04,115.849998,116.510002,115.750000,116.019997,113.224297,21118116
2017-01-05,115.919998,116.864197,115.809998,116.610001,113.800064,22193587
2017-01-06,116.779999,118.160004,116.470001,117.910004,115.068748,31751900
2017-01-09,117.949997,119.430000,117.940002,118.989998,116.122726,33561948
2017-01-10,118.769997,119.379997,118.300003,119.110001,116.239845,24462051
2017-01-11,118.739998,119.930000,118.599998,119.750000,116.864418,27588593
2017-01-12,118.894997,119.300003,118.209999,119.250000,116.376457,27086220
2017-01-13,119.110001,119.620003,118.809998,119.040001,116.171524,26111948
2017-01-17,118.339996,120.239998,118.220001,120.000000,117.108376,34439843
2017-01-18,120.000000,120.500000,119.709999,119.989998,117.098633,23712961
2017-01-19,119.400002,120.089996,119.370003,119.779999,116.893692,25597291
2017-01-20,120.449997,120.449997,119.734596,120.000000,117.108376,32597892
2017-01-23,120.000000,120.809998,119.769997,120.080002,117.186455,22050218
2017-01-24,119.550003,120.099998,119.500000,119.970001,117.079117,23211038
2017-01-25,120.419998,122.099998,120.279999,121.879997,118.943062,32586673
2017-01-26,121.669998,122.440002,121.599998,121.940002,119.001640,26337576
2017-01-27,122.139999,122.349998,121.599998,121.949997,119.011414,20562944
2017-01-30,120.930000,121.629997,120.660004,121.629997,118.699112,30377503
2017-01-31,121.150002,121.389999,120.620003,121.349998,118.425835,49200993
2017-02-01,127.029999,130.490005,127.010002,128.750000,125.647530,111985040
2017-02-02,127.974998,129.389999,127.779999,128.529999,125.432854,33710411
2017-02-03,128.309998,129.190002,128.160004,129.080002,125.969589,24507301
2017-02-06,129.130005,130.500000,128.899994,130.289993,127.150436,26845924
2017-02-07,130.539993,132.089996,130.449997,131.529999,128.360519,38183841
2017-02-08,131.350006,132.220001,131.220001,132.039993,128.858261,22941341
2017-02-09,131.649994,132.445007,131.119995,132.419998,129.368713,28349859
2017-02-10,132.460007,132.940002,132.050003,132.119995,129.075623,20065458
2017-02-13,133.080002,133.820007,132.750000,133.289993,130.218674,23035421
2017-02-14,133.470001,135.089996,133.250000,135.020004,131.908813,33226223
